NAME_LOC,NAME_EN,TYPE,TYPECODE,SUBTYPE,LEVEL,LEVELCODE,POSTCODE,ADDRESS_LOC,ADDRESS_EN,CITY_LOC,CITY_EN,FOCAL_PERSON_LOC,FOCAL_PERSON_EN,TELEPHONE,EMAIL,WEBSITE,SOURCE_EN,SOURCE_LOC,LATITUDE,LONGITUDE,ISO3,COUNTRY,NATIONAL_SOCIETY,GOLOCALUNITID,NSLOCALUNITID,DATEOFUPDATE,VALIDATED,PUBLICVIEW
বরগুনা রেড ক্রিসেন্ট ইউনিট,Barguna Red Crescent Unit,Administrative,1,Branch office,District,2,,"সিরাজউদ্দিন রোড, টাউন হল, বরগুনা ৮৭০০","Sirajuddin Road, Town Hall, Barguna 8700",,Barguna,মাহবুবুর রহমান মিলন,Mahbubur Rahman milon,17183223040,barguna@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,22.1614375,90.1227277,BGD,Bangladesh,Bangladesh Red Crescent Society,,1,7-Feb-24,Yes,Yes
বরিশাল রেড ক্রিসেন্ট ইউনিট,Barisal Red Crescent Unit,Administrative,1,Branch office,District,2,,"ব্যান্ড রোড, ডিসি লঞ্চ ঘাট, বরিশাল","Band Road, DC Launch Ghat, Barishal",,Barisal,এএসএম গোলাম কবির,ASM Golam Kabir,1712150959,barishal@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,22.698051,90.3741722,BGD,Bangladesh,Bangladesh Red Crescent Society,,2,7-Feb-24,Yes,Yes
ভোলা রেড ক্রিসেন্ট ইউনিট,Bhola Red Crescent Unit,Administrative,1,Branch office,District,2,,"রেড ক্রিসেন্ট ভবন, নতুন বাজার, ভোলা সদর, ভোলা","Red Cerscent Bhaban, Natun Bazar,Bhola Sader,Bhola",,Bhola,মোঃ আবদুল বারী,Md. Abdul Bari,1716355165,bhola@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,22.6854033,90.6463914,BGD,Bangladesh,Bangladesh Red Crescent Society,,3,7-Feb-24,Yes,Yes
ঝালকাঠি রেড ক্রিসেন্ট ইউনিট,Jhalakathi Red Crescent Unit,Administrative,1,Branch office,District,2,,"পুরাতন কলেজ রোড, ঝালাকাঠি","Old Collage Road, Jhalakathi",,Jhalakathi,ইকবাল মাসুদ,Iqbal Masud,1711037672,jhalakathi@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,22.6406182,90.2035921,BGD,Bangladesh,Bangladesh Red Crescent Society,,4,7-Feb-24,Yes,Yes
পটুয়াখালী রেড ক্রিসেন্ট ইউনিট,Patuakhali Red Crescent Unit,Administrative,1,Branch office,District,2,,"পুরাতন ফৌজদার ভবন, লঞ্চ ঘাট, পটুয়াখালী","Puraton Foujdar Bhaban, Launch Ghat,Patukhali",,Patuakhali,এমডি ফারুক হোসিন,"Md, Faruk Hossin",1712981322,Patukhali@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,22.3605663,90.3505268,BGD,Bangladesh,Bangladesh Red Crescent Society,,5,7-Feb-24,Yes,Yes
পিরোজপুর রেড ক্রিসেন্ট ইউনিট,Pirojpur Red Crescent Unit,Administrative,1,Branch office,District,2,,"রেড ক্রিসেন্ট ভবন (স্টেডিয়ামের নিকটে), হুলারহাট রোড, পিরোজপুর -৮৫০০","Red Crescent Bhaban (Near to Stadium),Hularthat Road,Pirojpur-8500",,Pirojpur,মহাবুবুর রহমান মিলন,Mahabubur Rahman Milon,1720548462,pirojpurbdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,22.5792733,89.9826263,BGD,Bangladesh,Bangladesh Red Crescent Society,,6,7-Feb-24,Yes,Yes
বান্দরবন রেড ক্রিসেন্ট ইউনিট,Bandarban Red Crescent Unit,Administrative,1,Branch office,District,2,,"রেড ক্রিসেন্ট ভবন, বান্দরবন",Do,,Bandarban,মোহাম্মদ মোশারেফ হোসেন,Mohammed Mosharef Hossain,,bandarban@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,22.1814602,92.1933848,BGD,Bangladesh,Bangladesh Red Crescent Society,,7,7-Feb-24,Yes,Yes
ব্রাক্ষণবাড়িয়া রেড ক্রিসেন্ট ইউনিট,Brahmanbaria Red Crescent Unit,Administrative,1,Branch office,District,2,,"রেড ক্রিসেন্ট ভবন, সদর হাসপাতাল রোড, ব্রাহ্মণবারিয়া- ৩৪০০","Red Cerscent Bhaban, Sadar Hospital road, Brahmanbaria- 3400",,Brahmanbaria,মিঃ পঙ্কজ কুমার সরকার,Mr. Pankaj Kumar Sarkar,880-2-334427120,brahmanbaria@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,23.9758278,91.1107374,BGD,Bangladesh,Bangladesh Red Crescent Society,,8,7-Feb-24,Yes,Yes
চাঁদপুর রেড ক্রিসেন্ট ইউনিট,Chandpur Red Crescent Unit,Administrative,1,Branch office,District,2,,"রেড ক্রিসেন্ট ভবন, কাজী নাজরুল সরক, চাঁদপুর সদর, চাঁদপুর","Red Crescent Bhaban, Kazi Nazrul Sarak, Chandpur Sadar, Chandpur",,Chandpur,মোঃ বাজলুর করিম চৌধুরী,Md. Bazlur Karim Chowdhury ,01712295735,chandpur@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,23.2225775,90.653899,BGD,Bangladesh,Bangladesh Red Crescent Society,,9,7-Feb-24,Yes,Yes
চট্টগ্রাম সিটি রেড ক্রিসেন্ট ইউনিট,Chattogram City Red Crescent Unit,Administrative,1,Branch office,District,2,,"সানমার স্প্রিং গার্ডেন, 64 জামাল খান রোড","Sanmar Spring Garden, 64 Jamal Khan Road",,Chattogram City,মোঃ আবদুল রহিম আকন,Md. Abdul Rahim Akon,01819317456,chattogramcity@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,22.345351,91.8387438,BGD,Bangladesh,Bangladesh Red Crescent Society,,10,7-Feb-24,Yes,Yes
 চট্টগ্রাম জেলা রেড ক্রিসেন্ট ইউনিট,Chattogram District Red Crescent Unit,Administrative,1,Branch office,District,2,,"চট্টগ্রাম জেলা রেড ক্রিসেন্ট ইউনিট, রেড ক্রিসেন্ট বিল্ডিং, ৩৯৫ আন্দরকিল্লা, চট্টগ্রাম","Chattogram district red crescent unit, red crescent building,395 Anderkilla, Chattogram.",,Chattogram District,মোঃ আবদুল মান্নান,Md. Abdul Mannan,1819173034,chattogramdist@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,22.3453776,91.8387708,BGD,Bangladesh,Bangladesh Red Crescent Society,,11,7-Feb-24,Yes,Yes
কক্সবাজার রেড ক্রিসেন্ট ইউনিট,Cox's Bazar Red Crescent Unit,Administrative,1,Branch office,District,2,,"মোটেল রোড, কক্সবাজার সদর","Motel Road, Cox's Bazar,sadar",,Cox's Bazar,মো। সাইফুল ইসলাম,Md. Saiful Islam,1810112212,ocxsbazar@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,21.4396429,91.969217,BGD,Bangladesh,Bangladesh Red Crescent Society,,12,7-Feb-24,Yes,Yes
কুমিল্লা রেড ক্রিসেন্ট ইউনিট,Cumilla Red Crescent Unit,Administrative,1,Branch office,District,2,,"নবাব ফয়জুনেসা রোড, কুমিল্লা ৩৫০০","Nobaba Fayjunnesa Rd, Comilla 3500",,Cumilla,কাজী জানে আলম,Kazi Jane Alam,01714373530,cumilla@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,23.4675455,91.1778184,BGD,Bangladesh,Bangladesh Red Crescent Society,,13,7-Feb-24,Yes,Yes
ফেনী রেড ক্রিসেন্ট ইউনিট,Feni Red Crescent Unit,Administrative,1,Branch office,District,2,,"রাজার ডিঘির পূর্বের পারা, ফেনি ৩৯০০০","Rajar Dighirpurberpar, Feni 3900",,Feni,আলাউদ্দিন প্যাটোয়ারি,Alauddin Patoary,1711385009,feni@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,23.0107722,91.4008214,BGD,Bangladesh,Bangladesh Red Crescent Society,,14,7-Feb-24,Yes,Yes
 খাগড়াছড়ি রেড ক্রিসেন্ট ইউনিট,Khagrachari Red Crescent Unit,Administrative,1,Branch office,District,2,,"উচ্চ বিদ্যালয়ের মাঠের কাছে, আদলাত সড়ক, খারাচরি সদর","Near High School Field, Adalat Sarak,Kharachari Sadar",,Khagrachari,আবদুল গানি মজুমদার,Abdul Gani Majumder,+88 02 3333 43059,khagrachari@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,23.1110895,91.9888253,BGD,Bangladesh,Bangladesh Red Crescent Society,,15,7-Feb-24,Yes,Yes
লক্ষীপুর রেড ক্রিসেন্ট ইউনিট,Lakshmipur Red Crescent Unit,Administrative,1,Branch office,District,2,,"রেহান উদ্দিন ভুঁইয়া সড়ক, পুরাতন শহীদ মিনার রোড, লক্ষীপুর -৩৭০০","Rehan Uddin Bhuya Sarak, Puraton Shahid Minar Road, Lakshimpur-3700",,Lakshmipur,নাসরিন আকটার,Nasrin Akter,01815215945,lakshimpur@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,22.9411711,90.8376381,BGD,Bangladesh,Bangladesh Red Crescent Society,,16,7-Feb-24,Yes,Yes
নোয়াখালী রেড ক্রিসেন্ট ইউনিট,Noakhali Red Crescent Unit,Administrative,1,Branch office,District,2,,"নোয়াখালী রেড ক্রিসেন্ট ভবান, জেদাইগদী কোর্ট, নোয়াখালী","Noakhali Red Crescent Bhaban,Jedaigdi Court, Noakhali",,Noakhali,আবদুল করিম,Abdul Karim,1810849420,noakhali@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,22.8665443,91.1005869,BGD,Bangladesh,Bangladesh Red Crescent Society,,17,7-Feb-24,Yes,Yes
রাঙ্গামাটি রেড ক্রিসেন্ট ইউনিট,Rangamati Red Crescent Unit,Administrative,1,Branch office,District,2,,"কে কে রায় সড়ক, রাজবাড়ি রাঙ্গামাটি","K K Roy Sarak, Rajbari Rangamati",,Rangamati,মোঃ শামসুল আলম,Md. Shamsul Alam,2333304735,rangamati@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,22.6612555,92.1688454,BGD,Bangladesh,Bangladesh Red Crescent Society,,18,7-Feb-24,Yes,Yes
ঢাকা সিটি রেড ক্রিসেন্ট ইউনিট,Dhaka City Red Crescent Unit ,Administrative,1,Branch office,District,2,,"ঢাকা সিটি রেড ক্রিসেন্ট ইউনিট, ঢাকা দক্ষিণ সিটি কর্পোরেশন, নগর ভবন, ৫ম তলা, ঢাকা ১০০০","Dhaka City Red Crescent Unit, Dhaka South City Corporation, Ngar Bhaban, 5th Floor, Dhaka 1000",,Dhaka City,ফারজানা আকটার,Farzana Akter,0257164243,dhakacity@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,23.7241516,90.408147,BGD,Bangladesh,Bangladesh Red Crescent Society,,19,7-Feb-24,Yes,Yes
ঢাকা জেলা রেড ক্রিসেন্ট ইউনিট,Dhaka District Red Crescent Unit,Administrative,1,Branch office,District,2,,"৩৩ নং পাঁচ ভাই ঘাট লেইন, রাকনপুর, সূত্রাপুর, ঢাকা -১১০০","33 no pach Bhai Ghat lane, Rakonpur, Sutrapur, Dhaka-1100",,Dhaka District,মোঃ নুরুল ইসলাম,Md. Nurul Islam,1797879717,dhakadistrict@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,23.7099931,90.4168835,BGD,Bangladesh,Bangladesh Red Crescent Society,,20,7-Feb-24,Yes,Yes
ফরিদপুর রেড ক্রিসেন্ট ইউনিট,Faridpur Red Crescent Unit,Administrative,1,Branch office,District,2,,"রেড ক্রিসেন্ট প্লাজা, আলিপুর, ফরিদপুর","Red Crescent Plaza , Alipur, Faridpur",,Faridpur,পাভেল রহমান,Pavel Rahman,0,faridpur@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,23.6030191,89.8329478,BGD,Bangladesh,Bangladesh Red Crescent Society,,21,7-Feb-24,Yes,Yes
গাজীপুর রেড ক্রিসেন্ট ইউনিট,Gazipur Red Crescent Unit,Administrative,1,Branch office,District,2,,"রাজবাড়ি, জয়দেবপুর, গাজীপুর","Rjbari, Joydevpur,Gazipur",,Gazipur,মোঃ কামাল উদ্দিন,Md. Kamal Uddin,01711649877,gazipur@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,24.0004232,90.4252626,BGD,Bangladesh,Bangladesh Red Crescent Society,,22,7-Feb-24,Yes,Yes
গোপালগঞ্জ রেড ক্রিসেন্ট ইউনিট,Gopalganj Red Crescent Unit,Administrative,1,Branch office,District,2,,গোপালগঞ্জ,,,Gopalganj,বিপ্লাব কুমার বিশ্বাস,Biplab Kumar Biswas,1711133018,gopalganj@gmail.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,23.0043955,89.826664,BGD,Bangladesh,Bangladesh Red Crescent Society,,23,7-Feb-24,Yes,Yes
কিশোরগঞ্জ রেড ক্রিসেন্ট ইউনিট,Kishoreganj Red Crescent Unit,Administrative,1,Branch office,District,2,,"কিশোরগঞ্জ ইউনিট, বত্রিশ রেড ক্রিসেন্ট মোড়, কিশোরগঞ্জ ২৩০০","Bangladesh Red Crescent Society, Kishoreganj Unit, Bottiris Red Crescentmor, Kishoreganj-2300.",,Kishoreganj,মোঃ আবদুল মোটালিব,Md. Abdul Motalib ,01911-010212,       kishoreganj@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,24.4308244,90.781178,BGD,Bangladesh,Bangladesh Red Crescent Society,,24,7-Feb-24,Yes,Yes
মাদারিপুর রেড ক্রিসেন্ট ইউনিট,Madaripur Red Crescent Unit,Administrative,1,Branch office,District,2,,"মাদারিপুর পুরাতন কোর্ট রোড, নতুন শহর, সদর, মাদারিপুর","Madaripur Puraton Court Road, Noton Sohor, Sadar, Madaripur",,Madaripur,পঙ্কজ কুমার সরকার,Pankaj Kumar Sarkar,1718126884,madaripur@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,23.1669405,90.2097861,BGD,Bangladesh,Bangladesh Red Crescent Society,,25,7-Feb-24,Yes,Yes
মানিকগঞ্জ রেড ক্রিসেন্ট ইউনিট,Manikganj Red Crescent Unit,Administrative,1,Branch office,District,2,,"শহীদ রফিক সড়ক, সদার, মানিকগঞ্জ","Shahid Rafik Sarak, Sadar, Manikganj",,Manikganj,মো জ্যাটিকুর রহমান,Md. Ztikur Rahman,1721446220,manikganj@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,23.85939328,90.00716141,BGD,Bangladesh,Bangladesh Red Crescent Society,,26,7-Feb-24,Yes,Yes
মুন্সিগঞ্জ রেড ক্রিসেন্ট ইউনিট,Munshiganj Red Cresecent Unit,Administrative,1,Branch office,District,2,,"আলহবাজ মো মহিউদ্দীন রেড ক্রিসেন্ট ভবন, হাতলক্ষীগঞ্জ, পুরাতন বাস স্টান্ড, মুন্সীগঞ্জ","Alhaj Md. Mohiuddin Red Crescent Bhaban, Hatlakshiganj, Puraton Bus Stand, Munshiganj",,Munshiganj,এমডি জিয়াউল হক,Md.Ziaul Haq,,munshiganj@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,23.5586865,90.5326136,BGD,Bangladesh,Bangladesh Red Crescent Society,,27,7-Feb-24,Yes,Yes
নারায়ণগঞ্জ রেড ক্রিসেন্ট ইউনিট,Narayanganj Red Crescent Unit,Administrative,1,Branch office,District,2,,"১৩০, ভাষা সৈনিক একেএম সামসুজ্জামান সড়ক, উত্তর চাষাড়া, নারায়ানগঞ্জ ১৪০০","130, Bhasa Soinik AKM Shamsuzzoha Sarak, North Chashara, Narayanganj-1400",,Narayanganj,"কাওসার আহমেদ, জাদ","Kawser Ahmed, JAD",01711369915,narayanganj@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,23.6260541,90.4995318,BGD,Bangladesh,Bangladesh Red Crescent Society,,28,7-Feb-24,Yes,Yes
নরসিংদি রেড ক্রিসেন্ট ইউনিট,Narsingdi Red Crescent Unit,Administrative,1,Branch office,District,2,,"৩০৮ রেড ক্রিসেন্ট ভবন, পশ্চিম ব্রামন্ডি (উত্তর টাউন হল), নরসিংদী ১৬০২","308, Red Crescent Bhaban, West Brahmondi (Old Town Hall), Narsingdi-1602",,Narsingdi,মো কাওসার আহমেদ,Md. Kawser Ahmed,01711-344269,narsingdi@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,23.919267,90.717649,BGD,Bangladesh,Bangladesh Red Crescent Society,,29,7-Feb-24,Yes,Yes
রাজবাড়ী রেড ক্রিসেন্ট ইউনিট,Rajbari Red Crescent Unit,Administrative,1,Branch office,District,2,,"রেড ক্রিসেন্ট প্লাজা, ১ নং বেরাডাঙ্গা, রাজবাড়ী সদর, রাজবাড়ী- ৭৭০০","Red Crescent Plaza , 1 no Beradanga, Rajbari Sadar, Rajbari-7700",,Rajbari,মো নাজির সিকদার,Md. Nazir Sikder,1715696306,rajbari@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,23.761277,89.6487919,BGD,Bangladesh,Bangladesh Red Crescent Society,,30,7-Feb-24,Yes,Yes
শরীয়তপুর রেড ক্রিসেন্ট ইউনিট,Shariatpur Red Crescent Unit,Administrative,1,Branch office,District,2,,"বাংলাদেশ রেড ক্রিসেন্ট সোসাইটি, সদর হাসপাতাল রোড, শরীয়তপুর","Bangladesh Red Crescent Society, Sadar Hospital Road, Shariatpur.",,Shariatpur,পঙ্কজ কুমার সরকার,Pankaj Kumar Sarkar,1718126884,shariatpur@bdrcs.org,http://www.bdrcs.org/,Bangladesh Red Crescent Society,,23.2114034,90.3469505,BGD,Bangladesh,Bangladesh Red Crescent Society,,31,7-Feb-24,Yes,Yes
