DATA SOURCE ID,Focal point email,Focal point phone number,Focal point position,Health facility type,Other facility type,Affilation,Functionality,Primary Health Care Centre,Speciality,Hospital type,Teaching hospital,In-patient Capacity,Maximum Capacity,Isolation rooms wards,Number of isolation rooms,Warehousing,Cold chain,General medical services,Specialized medical beyond primary level,Other Services,Blood Services,Total number of Human Resource,General Practitioner,Specialist,Residents Doctor,Nurse,Dentist,Nursing Aid,Midwife,Other medical health workers,Other Profiles,Feedback,Other Affiliation,Professional Training Facilities,Ambulance Type A,Ambulance Type B,Ambulance Type C,Residential long term care facilities
11155612,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,Yes,Yes,,,,,17,0,0,0,9,0,8,0,No,,,,,,,,
11155611,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,12,0,0,0,0,0,0,0,No,,,,,,,1,
11155610,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,6,0,0,0,0,0,0,0,No,,,,,,,1,
11155609,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,No,Yes,,,,,12,0,0,0,4,0,8,0,No,,,,,,,,
11155608,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,26,0,0,0,0,0,0,0,No,,,,,,,2,
11155607,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,65,0,0,0,0,0,0,0,No,,,,,,2,5,
11155606,E.Adams@drk.de,493085404108,,Other,Social Services,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,No,Yes,,,,,16,0,0,0,2,0,8,0,Yes,,,,,,,,
11155604,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,36,0,0,0,0,0,0,0,No,,,,,2,,1,
11155603,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,15,0,0,0,0,0,0,0,No,,,,,,,1,
11155602,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,16,0,0,0,0,0,0,0,No,,,,,,,1,
11155601,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,29,0,0,0,0,0,0,0,No,,,,,2,,1,
11155600,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,18,0,0,0,0,0,0,0,,,,,,,,1,
11155599,E.Adams@drk.de,493085404108,,Specialized Services,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,Yes,No,,,,,27,0,0,0,0,0,0,0,Yes,,,,,,,,
11155598,E.Adams@drk.de,493085404108,,Primary Health Care Centre,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,Yes,No,,,,,16,0,0,0,0,0,0,0,Yes,,,,,,,,
11155597,E.Adams@drk.de,493085404108,,Specialized Services,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,Yes,No,,,,,16,0,0,0,0,0,0,0,Yes,,,,,,,,
11155596,E.Adams@drk.de,493085404108,,Hospitals,,Other,Fully Functional,,,,,Yes,,Yes,,,,,,,,336,0,41,31,202,0,0,0,Yes,,,,,,,,
11155595,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,99,0,0,0,0,0,0,0,No,,,,,4,,9,
11155594,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,11,0,0,0,0,0,0,0,No,,,,,,,1,
11155593,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,32,0,0,0,0,0,0,0,No,,,,,3,,3,
11155592,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,11,0,0,0,0,0,0,0,No,,,,,,,1,
11155591,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,11,0,0,0,0,0,0,0,No,,,,,,,1,
11155590,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,11,0,0,0,0,0,0,0,No,,,,,,,1,
11155589,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,11,0,0,0,0,0,0,0,No,,,,,,,1,
11155588,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,33,0,0,0,0,0,0,0,No,,,,,,,2,
11155587,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,11,0,0,0,0,0,0,0,No,,,,,,,1,
11155586,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,11,0,0,0,0,0,0,0,No,,,,,,,1,
11155585,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,22,0,0,0,0,0,0,0,No,,,,,,,2,
11155581,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Public Government Facility,Fully Functional,,,,,,,,,,,,,,,37,0,0,0,0,0,0,0,,,,,,0,2,5,
11155578,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,Yes,No,,,,,3,0,0,0,3,0,0,0,No,,,,,,,,
11155577,E.Adams@drk.de,493085404108,,Residential Facilities,,Other,Fully Functional,,,,,Yes,,Yes,,,,,,,,17,0,0,0,11,0,6,0,No,,,,,,,,
11155576,E.Adams@drk.de,493085404108,,Other,Gestellte Mitglieder nach AÜG,Public Government Facility,Fully Functional,,,,,Yes,,Yes,,,,,,,,229,0,0,0,229,0,0,0,No,,,,,,,,
11155575,E.Adams@drk.de,493085404108,,Training Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,Yes,No,,,,,15,0,0,0,0,0,0,0,No,,,,,,,,
11155574,E.Adams@drk.de,493085404108,,Training Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,Yes,No,,,,,15,0,0,0,0,0,0,0,No,,,,,,,,
11155571,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,No,No,,,,,0,0,0,0,0,0,0,0,No,,,,,,,,
11155570,E.Adams@drk.de,493085404108,,Blood Centres,,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,No,No,,,,,0,0,0,0,0,0,0,0,,,,,,,,,
11155569,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,77,0,0,0,0,0,0,0,No,,,,,,10,4,
11155568,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,27,0,0,0,0,0,0,0,No,,,,,,1,2,
11155567,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,24,0,0,0,0,0,0,0,No,,,,,,1,2,
11155566,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,Yes,No,,,,,18,0,0,0,1,0,4,0,Yes,,,,,,,,
11155565,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,Yes,Yes,,,,,8,0,0,0,0,0,3,0,Yes,,,,,,,,
11155561,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,99,0,0,0,0,0,0,0,No,,,,,5,5,5,
11155555,E.Adams@drk.de,493085404108,,Primary Health Care Centre,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,Yes,No,,,,,24,0,0,0,16,0,8,0,No,,,,,,,,
11155554,E.Adams@drk.de,493085404108,,Primary Health Care Centre,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,Yes,No,,,,,21,0,0,0,14,0,7,0,No,,,,,,,,
11155553,E.Adams@drk.de,493085404108,,Primary Health Care Centre,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,Yes,No,,,,,11,0,0,0,6,0,5,0,No,,,,,,,,
11155552,E.Adams@drk.de,493085404108,,Primary Health Care Centre,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,Yes,No,,,,,9,0,0,0,5,0,4,0,No,,,,,,,,
11155551,E.Adams@drk.de,493085404108,,Other,Non-residential care centre,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,Yes,No,,,,,3,0,0,0,3,0,0,0,No,,,,,,,,
11155550,E.Adams@drk.de,493085404108,,Other,Non-residential care centre,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,Yes,No,,,,,4,0,0,0,3,0,1,0,No,,,,,,,,
11155549,E.Adams@drk.de,493085404108,,Other,Non-residential care centre,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,Yes,No,,,,,3,0,0,0,2,0,1,0,No,,,,,,,,
11155548,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,58,0,0,0,0,0,0,0,No,,,,,4,,5,
11155547,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,40,0,0,0,0,0,0,0,No,,,,,,2,1,
11155545,E.Adams@drk.de,493085404108,,Primary Health Care Centre,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,No,Yes,,,,,25,0,0,0,9,0,16,0,No,,,,,,,,
11155544,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,37,0,0,0,0,0,0,0,No,,,,,,1,1,
11155543,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,40,0,0,0,0,0,0,0,No,,,,,,1,1,
11155542,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,No,Yes,,,,,0,0,0,0,0,0,0,0,,,,,,,,,
11155541,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,No,Yes,,,,,0,0,0,0,0,0,0,0,,,,,,,,,
11155540,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,No,Yes,,,,,24,0,0,0,12,0,12,0,,,,,,,,,
11155539,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,25,0,0,0,0,0,0,0,No,,,,,2,0,1,
11155538,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,30,0,0,0,0,0,0,0,No,,,,,,3,2,
11155537,E.Adams@drk.de,493085404108,,Training Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,No,No,,,,,11,0,0,0,0,0,0,0,Yes,,,,,,,,
11155536,E.Adams@drk.de,493085404108,,Other,Administration,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,Yes,Yes,,,,,217,0,0,0,0,0,0,0,No,,,,,,,,
11155532,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,173,0,0,0,29,0,4,0,No,,,,,17,,12,
11155531,E.Adams@drk.de,493085404108,,Other,0,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,No,No,,,,,22,0,0,0,4,0,13,0,Yes,,,,,,,,
11155530,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,28,0,0,0,0,0,0,0,No,,,,,,2,2,
11155529,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,22,0,0,0,0,0,0,0,No,,,,,,1,,
11155528,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,14,0,0,0,0,0,0,0,No,,,,,,1,,
11155527,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,15,0,0,0,0,0,0,0,No,,,,,,1,1,
11155522,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,38,0,0,0,0,0,0,0,No,,,,,1,,5,
11155521,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,17,0,0,0,0,0,0,0,No,,,,,,,2,
11155520,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,28,0,0,0,0,0,0,0,No,,,,,,,4,
11155519,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,75,0,0,0,0,0,0,0,No,,,,,5,,3,
11155518,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,83,0,0,0,0,0,0,0,No,,,,,5,,2,
11155517,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,No,,,,,,,1,
11155516,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,76,0,0,0,0,0,0,0,No,,,,,5,,2,
11155515,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,7,0,0,0,0,0,0,0,No,,,,,,,1,
11155514,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,27,0,0,0,0,0,0,0,No,,,,,,,3,
11155513,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,15,0,0,0,0,0,0,0,No,,,,,,,2,
11155512,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,19,0,0,0,0,0,0,0,No,,,,,,1,2,
11155511,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,24,0,0,0,0,0,0,0,No,,,,,,1,3,
11155510,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,41,0,0,0,0,0,0,0,No,,,,,,,4,
11155509,E.Adams@drk.de,493085404108,,Training Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,Yes,No,,,,,15,0,0,0,0,0,0,0,,,,,,,,,
11155508,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,19,0,0,0,0,0,0,0,No,,,,,,,3,
11155507,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,28,0,0,0,0,0,0,0,No,,,,,,2,2,
11155506,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Public Government Facility,Fully Functional,,,,,,,,,,,,,,,67,0,0,0,0,0,0,0,No,,,,,,,4,
11155505,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Private Facility,Fully Functional,,,,,,,,,,,,,,,9,0,0,0,0,0,0,0,,,,,,,,,
11155504,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,No,No,,,,,4,0,0,0,2,0,2,0,No,,,,,,,,
11155503,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,No,No,,,,,5,0,0,0,2,0,3,0,No,,,,,,,,
11155501,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,No,No,,,,,20,0,0,0,9,0,11,0,No,,,,,,,,
11155500,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,No,No,,,,,14,0,0,0,5,0,9,0,No,,,,,,,,
11155499,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,No,No,,,,,17,0,0,0,5,0,12,0,,,,,,,,,
11155498,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,No,,,,,0,0,1,
11155496,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,No,,,,,0,0,2,
11155495,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,14,0,0,0,0,0,0,0,No,,,,,1,0,1,
11155493,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,196,0,1,0,0,0,0,0,No,,,,,18,,4,
11155491,E.Adams@drk.de,493085404108,,Specialized Services,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,No,No,,,,,17,0,0,0,13,0,4,0,No,,,,,,,,
11155490,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,47,0,0,0,0,0,0,0,No,,,,,2,,3,
11155486,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,27,0,0,0,0,0,0,0,No,,,,,0,3,2,
11155483,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,11,0,0,0,0,0,0,0,,,,,,,,1,
11155482,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,No,No,,,,,5,0,0,0,3,0,2,0,,,,,,,,,
11155481,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,No,No,,,,,3,0,0,0,2,0,1,0,No,,,,,,,,
11155480,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,No,,,,,,,1,
11155479,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,30,0,0,0,0,0,0,0,No,,,,,1,,1,
11155478,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,18,0,0,0,0,0,0,0,No,,,,,1,,1,
11155477,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,75,0,0,0,0,0,0,0,No,,,,,5,,2,
11155476,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,1,,1,
11155475,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,13,0,0,0,0,0,0,0,No,,,,,,,1,
11155474,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,No,,,,,1,,2,
11155473,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,1,
11155472,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,No,,,,,1,,1,
11155471,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,40,0,0,0,0,0,0,0,No,,,,,3,,1,
11155470,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,Yes,Yes,,,,,0,0,0,0,0,0,0,0,No,,,,,,,,
11155468,E.Adams@drk.de,493085404108,,Other,Lifeguard station,Red Cross Red Crescent Facility,Fully Functional,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,3,,1,
11155467,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,No,No,,,,,4,0,0,0,3,0,1,0,No,,,,,,,,
11155466,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,No Information,,,,,No,,No,,No,No,,,,,22,0,0,0,7,0,15,0,No,,,,,,,,
11155465,E.Adams@drk.de,493085404108,,Residential Facilities,,Red Cross Red Crescent Facility,Fully Functional,,,,,No,,No,,No,No,,,,,2,0,0,0,1,0,1,0,No,,,,,,,,
