NAME_LOC,NAME_EN,TYPE,TYPECODE,SUBTYPE,LEVEL,LEVELCODE,POSTCODE,ADDRESS_LOC,ADDRESS_EN,CITY_LOC,CITY_EN,FOCAL_PERSON_LOC,FOCAL_PERSON_EN,TELEPHONE,EMAIL,WEBSITE,SOURCE_EN,SOURCE_LOC,LATITUDE,LONGITUDE,ISO3,COUNTRY,NATIONAL_SOCIETY,GOLOCALUNITID,NSLOCALUNITID,DATEOFUPDATE,VALIDATED,PUBLICVIEW
Hill Country,Hill Country,Administrative,1,,Ward,3,,333 Earl Garrett Street ,333 Earl Garrett Street ,"Kerrville, TX 78028","Kerrville, TX 78028",,,(830) 257-4677,,,American Red Cross,American Red Cross,30.0471821,-99.138308,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Southeast and Deep East Texas,Southeast and Deep East Texas,Administrative,1,,Ward,3,,3901 IH 10 East ,3901 IH 10 East ,"Orange, TX 77630","Orange, TX 77630",,,(409) 883-2322,,,American Red Cross,American Red Cross,30.119846,-93.7832371,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Central Texas,Central Texas,Administrative,1,,Ward,3,,2218 Pershing Drive ,2218 Pershing Drive ,"Austin, TX 78723","Austin, TX 78723",,,(512) 928-4271,,,American Red Cross,American Red Cross,30.2872472,-97.6985763,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Northeast FL Chapter  - Jacksonville Office (Regional Headquarters),Northeast FL Chapter  - Jacksonville Office (Regional Headquarters),Administrative,1,Chapter,District,2,,751 Riverside Avenue ,751 Riverside Avenue ,"Jacksonville, FL 32204","Jacksonville, FL 32204",,,1-904-358-8091,,,American Red Cross,American Red Cross,30.3159802,-81.676184,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Southeast Mississippi,Southeast Mississippi,Administrative,1,,Ward,3,, 612 E. Pass Road , 612 E. Pass Road ,"Gulfport, MS 39507","Gulfport, MS 39507",,,(228) 896-4511,,,American Red Cross,American Red Cross,30.3957408,-89.0395547,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Louisiana Capital Area,Louisiana Capital Area,Administrative,1,,Ward,3,,4655 Sherwood Common Blvd. ,4655 Sherwood Common Blvd. ,"Baton Rouge, LA 70816","Baton Rouge, LA 70816",,,(225) 291-4533,,,American Red Cross,American Red Cross,30.4069461,-91.056296,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Capital Area Office,Capital Area Office,Administrative,1,Office,Ward,3,,1115 Easterwood Drive ,1115 Easterwood Drive ,"Tallahassee, FL 32311","Tallahassee, FL 32311",,,1-850-878-6080,,,American Red Cross,American Red Cross,30.4502606,-84.2200577,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Northwest Florida Office,Northwest Florida Office,Administrative,1,Office,Ward,3,,9111 Sturdevant Street ,9111 Sturdevant Street ,"Pensacola, FL 32514","Pensacola, FL 32514",,,1-850-432-7601,,,American Red Cross,American Red Cross,30.5282239,-87.1992617,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
South Alabama Chapter,South Alabama Chapter,Administrative,1,Chapter,District,2,,35 North Sage Avenue ,35 North Sage Avenue ,"Mobile, AL 36607","Mobile, AL 36607",,,251-544-6100,,,American Red Cross,American Red Cross,30.6918227,-88.1153514,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
South Central Georgia,South Central Georgia,Administrative,1,,Ward,3,,385 Connell Rd. ,385 Connell Rd. ,"Valdosta, GA 31602","Valdosta, GA 31602",,,229-242-7404,,,American Red Cross,American Red Cross,30.8729622,-83.2824912,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Heart of Texas,Heart of Texas,Administrative,1,,Ward,3,,"6801 Sanger Ave, Ste. 228A ","6801 Sanger Ave, Ste. 228A ","Waco, TX 76710","Waco, TX 76710",,,(254) 523-4985,,,American Red Cross,American Red Cross,31.5201369,-97.2007098,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
West Texas,West Texas,Administrative,1,,Ward,3,,3620 Admiral Street ,3620 Admiral Street ,"El Paso, TX 79925","El Paso, TX 79925",,,(915) 592-0208,,,American Red Cross,American Red Cross,31.794709,-106.3637179,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Fort Stewart - American Red Cross,Fort Stewart - American Red Cross,Administrative,1,,Ward,3,,"Building 253, Suite 2074 Pony Soldier Ave.  ","Building 253, Suite 2074 Pony Soldier Ave.  ","Fort Stewart, GA 31315","Fort Stewart, GA 31315",,,912-767-2197,,,American Red Cross,American Red Cross,31.8635091,-81.6030315,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Permian Basin,Permian Basin,Administrative,1,,Ward,3,,9601 Wright Drive P.O. Box 60310 ,9601 Wright Drive P.O. Box 60310 ,"Midland, TX 79711","Midland, TX 79711",,,(432) 563-2267,,,American Red Cross,American Red Cross,31.9427155,-102.2109139,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Savannah Red Cross Blood and Platelet Donation Center,Savannah Red Cross Blood and Platelet Donation Center,Health Care,2,Blood Centre,,,,25 Tibet Ave ,25 Tibet Ave ,"Savannah, GA 31406","Savannah, GA 31406",,,1-800-RED CROSS,,,American Red Cross,American Red Cross,31.9878785,-81.1302552,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Southeast Georgia,Southeast Georgia,Administrative,1,,Ward,3,,41 Park of Commerce Way Building #200,41 Park of Commerce Way Building #200,"Savannah, GA 31405","Savannah, GA 31405",,,912-651-5300,,,American Red Cross,American Red Cross,32.0654945,-81.1654968,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Southern Arizona Chapter,Southern Arizona Chapter,Administrative,1,Chapter,District,2,,3470 E. Universal Way ,3470 E. Universal Way ,"Tucson, AZ 85756","Tucson, AZ 85756",,,(520) 318-6740,,,American Red Cross,American Red Cross,32.1315976,-110.9184254,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
"Tucson Red Cross Blood, Platelet and Plasma Donation Center ","Tucson Red Cross Blood, Platelet and Plasma Donation Center ",Health Care,2,Blood Centre,,,,7139 E. Broadway Blvd ,7139 E. Broadway Blvd ,"Tucson, AZ 85710","Tucson, AZ 85710",,,1-800-RED CROSS,,,American Red Cross,American Red Cross,32.2226418,-110.8393667,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
East Texas Chapter,East Texas Chapter,Administrative,1,Chapter,District,2,,320 E. Rieck Rd. ,320 E. Rieck Rd. ,"Tyler, TX 75703 ","Tyler, TX 75703 ",,,(903) 581-7981,,,American Red Cross,American Red Cross,32.2893782,-95.2990859,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Southwest Mississippi,Southwest Mississippi,Administrative,1,,Ward,3,, 9 River Bend Place , 9 River Bend Place ,"Flowood, MS 39232","Flowood, MS 39232",,,601-353-5442,,,American Red Cross,American Red Cross,32.3279608,-90.1260282,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
"Tucson Red Cross Blood, Platelet and Plasma Donation Center - Foothills","Tucson Red Cross Blood, Platelet and Plasma Donation Center - Foothills",Health Care,2,Blood Centre,,,,7354 N La Cholla Blvd ,7354 N La Cholla Blvd ,"Tucson, AZ 85741","Tucson, AZ 85741",,,1-800-RED CROSS,,,American Red Cross,American Red Cross,32.3408449,-111.01209,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Central East Alabama Chapter,Central East Alabama Chapter,Administrative,1,Chapter,District,2,,5015 Woods Crossing ,5015 Woods Crossing ," Montgomery, AL 36106"," Montgomery, AL 36106",,,1-334-260-3980 ,,,American Red Cross,American Red Cross,32.3616824,-86.2208125,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Montgomery Red Cross Blood Donation Center,Montgomery Red Cross Blood Donation Center,Health Care,2,Blood Centre,,,,5015 Woods Crossing ,5015 Woods Crossing ,"Montgomery, AL 36106","Montgomery, AL 36106",,,1-800-RED CROSS,,,American Red Cross,American Red Cross,32.3616824,-86.2208125,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Fort Benning - American Red Cross,Fort Benning - American Red Cross,Administrative,1,,Ward,3,,"7200 Anderson Street, Bldg. 482 ","7200 Anderson Street, Bldg. 482 ","Fort Benning, GA 31905","Fort Benning, GA 31905",,,706-545-5194,,,American Red Cross,American Red Cross,32.3619719,-84.9767403,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
North Louisiana Chapter,North Louisiana Chapter,Administrative,1,Chapter,District,2,,805 Brook Hollow Dr. ,805 Brook Hollow Dr. ,"Shreveport, LA 71105","Shreveport, LA 71105",,,(318) 865-9545,,,American Red Cross,American Red Cross,32.418277,-93.7261352,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Southwest Georgia,Southwest Georgia,Administrative,1,,Ward,3,,6501 Veterans Parkway Suite 3B,6501 Veterans Parkway Suite 3B,"Columbus, GA 31909","Columbus, GA 31909",,,706-323-5614,,,American Red Cross,American Red Cross,32.5399392,-84.9552149,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Columbus Red Cross Blood and Platelet Donation Center - GA,Columbus Red Cross Blood and Platelet Donation Center - GA,Health Care,2,Blood Centre,,,,7490 Veterans Prkwy ,7490 Veterans Prkwy ,"Columbus, GA 31909","Columbus, GA 31909",,,1-800-RED CROSS,,,American Red Cross,American Red Cross,32.5559997,-84.9446445,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
DFW Metro West Chapter,DFW Metro West Chapter,Administrative,1,Chapter,District,2,,6000 Western Place ,6000 Western Place ,"Fort Worth, TX 76107","Fort Worth, TX 76107",,,(817) 335-9137,,,American Red Cross,American Red Cross,32.7358016,-97.4162519,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Imperial County,Imperial County,Administrative,1,,Ward,3,,312 South 8th St. ,312 South 8th St. ,"El Centro, CA 92243","El Centro, CA 92243",,,(760) 352-4541,,,American Red Cross,American Red Cross,32.7903404,-115.562264,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Charleston Red Cross Blood and Platelet Donation Center - West Ashley,Charleston Red Cross Blood and Platelet Donation Center - West Ashley,Health Care,2,Blood Centre,,,,2000 Sam Rittenberg Blvd ,2000 Sam Rittenberg Blvd ,"Charleston, SC 29407","Charleston, SC 29407",,,1-800-RED CROSS,,,American Red Cross,American Red Cross,32.7948359,-80.0289682,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Mt. Pleasant Red Cross Blood and Platelet Donation Center,Mt. Pleasant Red Cross Blood and Platelet Donation Center,Health Care,2,Blood Centre,,,,920 Houston Northcutt Blvd ,920 Houston Northcutt Blvd ,"Mount Pleasant, SC 29464","Mount Pleasant, SC 29464",,,1-800-RED CROSS,,,American Red Cross,American Red Cross,32.8020233,-79.8917187,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
DFW Metro East Chapter (Regional Headquarters),DFW Metro East Chapter (Regional Headquarters),Administrative,1,Chapter,District,2,,2055 Kendall Drive ,2055 Kendall Drive ,"Dallas, TX 75235","Dallas, TX 75235",,,(214) 678-4800,,,American Red Cross,American Red Cross,32.809067,-96.8319676,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
San Diego Region HQ,San Diego Region HQ,Administrative,1,Regional Headquarters,Provincial,1,,3950 Calle Fortunada ,3950 Calle Fortunada ,"San Diego, CA 92123","San Diego, CA 92123",,,(858) 309-1200,,,American Red Cross,American Red Cross,32.813567,-117.1234589,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
"Kearney Mesa Red Cross Blood, Platelet and Plasma Donation Center","Kearney Mesa Red Cross Blood, Platelet and Plasma Donation Center",Health Care,2,Blood Centre,,,,"4229 Ponderosa Ave, Suite C ","4229 Ponderosa Ave, Suite C ","San Diego, CA 92123","San Diego, CA 92123",,,1-800-RED CROSS,,,American Red Cross,American Red Cross,32.8168445,-117.131209,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Lowcountry SC Chapter,Lowcountry SC Chapter,Administrative,1,Chapter,District,2,,2424-A City Hall Lane ,2424-A City Hall Lane ,"North Charleston, SC 29406","North Charleston, SC 29406",,,1-843-764-2323,,,American Red Cross,American Red Cross,32.8754473,-80.0117521,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Irving Red Cross Blood and Platelet Donation Center,Irving Red Cross Blood and Platelet Donation Center,Health Care,2,Blood Centre,,,,2511 West Lyndon B. Johnson Freeway ,2511 West Lyndon B. Johnson Freeway ,"Irving, TX 75063","Irving, TX 75063",,,1-800-RED CROSS,,,American Red Cross,American Red Cross,32.9216139,-96.980605,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Plano Red Cross Blood and Platelet Donation Center,Plano Red Cross Blood and Platelet Donation Center,Health Care,2,Blood Centre,,,,741 N US-Central Expy Suite 1000 ,741 N US-Central Expy Suite 1000 ,"Plano, TX  75075","Plano, TX  75075",,,1-800-RED CROSS,,,American Red Cross,American Red Cross,33.0196617,-96.7089035,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Central Midwest Georgia,Central Midwest Georgia,Administrative,1,,Ward,3,,"900 Dallis Street, Suite C ","900 Dallis Street, Suite C ","LaGrange, GA 30240","LaGrange, GA 30240",,,706-884-5818,,,American Red Cross,American Red Cross,33.027046,-85.047399,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Central-West Alabama Chapter,Central-West Alabama Chapter,Administrative,1,Chapter,District,2,,"2130 Paul W. Bryant Drive, Suite B ","2130 Paul W. Bryant Drive, Suite B ","Tuscaloosa , AL 35401 ","Tuscaloosa , AL 35401 ",,,1-205-758-3608 ,,,American Red Cross,American Red Cross,33.2065636,-87.5633499,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Gilbert Red Cross Blood and Platelet Donation Center,Gilbert Red Cross Blood and Platelet Donation Center,Health Care,2,Blood Centre,,,,120 S. Val Vista Drive ,120 S. Val Vista Drive ,"Gilbert, AZ 85296","Gilbert, AZ 85296",,,1-800-RED CROSS,,,American Red Cross,American Red Cross,33.3479239,-111.7562959,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Birmingham Red Cross Blood and Platelet Donation Center - Caldwell Trace,Birmingham Red Cross Blood and Platelet Donation Center - Caldwell Trace,Health Care,2,Blood Centre,,,,700 Caldwell Trace ,700 Caldwell Trace ,"Birmingham, AL 35242","Birmingham, AL 35242",,,1-800-RED CROSS,,,American Red Cross,American Red Cross,33.3805276,-86.7385841,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Eisenhower Army Medical Center - American Red Cross,Eisenhower Army Medical Center - American Red Cross,Administrative,1,,Ward,3,,Bldg 300 3D-09  ,Bldg 300 3D-09  ,"Fort Gordon, GA 30905","Fort Gordon, GA 30905",,,706-787-6311,,,American Red Cross,American Red Cross,33.4243373,-82.1387233,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Northeast Texas Chapter,Northeast Texas Chapter,Administrative,1,Chapter,District,2,,821 Spruce Street ,821 Spruce Street ,"Texarkana, TX 75501","Texarkana, TX 75501",,,(903) 793-5602,,,American Red Cross,American Red Cross,33.4262368,-94.0503932,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
East Central Georgia,East Central Georgia,Administrative,1,,Ward,3,,1322 Ellis Street ,1322 Ellis Street ,"Augusta, GA 30901","Augusta, GA 30901",,,706-724-8481,,,American Red Cross,American Red Cross,33.4775991,-81.9766593,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Fayetteville Red Cross Blood and Platelet Donation Center,Fayetteville Red Cross Blood and Platelet Donation Center,Health Care,2,Blood Centre,,,,100 Promenade Parkway ,100 Promenade Parkway ,"Fayetteville, GA 30214","Fayetteville, GA 30214",,,1-800-RED-CROSS,,,American Red Cross,American Red Cross,33.4829471,-84.4342267,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Birmingham Red Cross Blood Donation Center - UAB Medical,Birmingham Red Cross Blood Donation Center - UAB Medical,Health Care,2,Blood Centre,,,,1802 6th Ave S ,1802 6th Ave S ,"Birmingham, AL 35233","Birmingham, AL 35233",,,1-800-RED CROSS,,,American Red Cross,American Red Cross,33.5066963,-86.8034463,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Central and Northern Arizona,Central and Northern Arizona,Administrative,1,,Ward,3,,"4747 North 22nd Street, Suite 100 ","4747 North 22nd Street, Suite 100 ","Phoenix, AZ 85016","Phoenix, AZ 85016",,,(602) 336-6660,,,American Red Cross,American Red Cross,33.5073448,-112.0339666,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Mid-Alabama Chapter (Regional Headquarters),Mid-Alabama Chapter (Regional Headquarters),Administrative,1,Chapter,District,2,,114 22nd St. ,114 22nd St. ,"Birmingham, AL 35223","Birmingham, AL 35223",,,205-795-8700,,,American Red Cross,American Red Cross,33.5124637,-86.8010136,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Glendale Red Cross Blood and Platelet Donation Center,Glendale Red Cross Blood and Platelet Donation Center,Health Care,2,Blood Centre,,,,9950 W Glendale Avenue Suite A ,9950 W Glendale Avenue Suite A ,"Glendale, AZ 85307","Glendale, AZ 85307",,,1-800-RED CROSS,,,American Red Cross,American Red Cross,33.537571,-112.273782,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Conyers Red Cross Blood and Platelet Donation Center,Conyers Red Cross Blood and Platelet Donation Center,Health Care,2,Blood Centre,,,,"2445 Salem Road SE, Suite 206F/207G ","2445 Salem Road SE, Suite 206F/207G ","Conyers, GA 30013","Conyers, GA 30013",,,1-800-RED CROSS,,,American Red Cross,American Red Cross,33.6235123,-83.9783119,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
"Laguna Hills Red Cross Blood, Platelet and Plasma Donation Center","Laguna Hills Red Cross Blood, Platelet and Plasma Donation Center",Health Care,2,Blood Centre,,,,22971 Mill Creek Dr ,22971 Mill Creek Dr ,"Laguna Hills, CA 92653","Laguna Hills, CA 92653",,,1-800-RED CROSS,,,American Red Cross,American Red Cross,33.6286923,-117.7353672,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Eastern SC Chapter Headquarters,Eastern SC Chapter Headquarters,Administrative,1,Chapter,District,2,,3531 Pampas Drive ,3531 Pampas Drive ,"Myrtle Beach, SC 29577","Myrtle Beach, SC 29577",,,1-843-477-0020,,,American Red Cross,American Red Cross,33.6601082,-78.9392986,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
"Fountain Valley Red Cross Blood, Platelet and Plasma Donation Center","Fountain Valley Red Cross Blood, Platelet and Plasma Donation Center",Health Care,2,Blood Centre,,,,17800 Newhope St ,17800 Newhope St ,"Fountain Valley, CA 92708","Fountain Valley, CA 92708",,,1-800-RED CROSS,,,American Red Cross,American Red Cross,33.7049427,-117.9328636,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Palm Desert/Coachella Valley,Palm Desert/Coachella Valley,Administrative,1,,Ward,3,,72559 CA-Highway 111 ,72559 CA-Highway 111 ,"Palm Desert, CA 92260","Palm Desert, CA 92260",,,888-831-0031,,,American Red Cross,American Red Cross,33.7239825,-116.4006229,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Orange County,Orange County,Administrative,1,,Ward,3,,600 Parkcenter Dr. ,600 Parkcenter Dr. ,"Santa Ana, CA 92705","Santa Ana, CA 92705",,,(714) 481-5300,,,American Red Cross,American Red Cross,33.7502243,-117.8365721,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
"Santa Ana Red Cross Blood, Platelet and Plasma Donation Center","Santa Ana Red Cross Blood, Platelet and Plasma Donation Center",Health Care,2,Blood Centre,,,,600 Park Center Drive ,600 Park Center Drive ,"Santa Ana, CA 92705","Santa Ana, CA 92705",,,1-800-RED CROSS,,,American Red Cross,American Red Cross,33.7502243,-117.8365721,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Myrtle Beach Red Cross Blood and Platelet Donation Center,Myrtle Beach Red Cross Blood and Platelet Donation Center,Health Care,2,Blood Centre,,,,"3681 Renee Drive, Unit #4 ","3681 Renee Drive, Unit #4 ","Myrtle Beach, SC 29579","Myrtle Beach, SC 29579",,,1-800-RED CROSS,,,American Red Cross,American Red Cross,33.7606983,-78.9677439,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
American Red Cross serving Greater Long Beach and South Bay,American Red Cross serving Greater Long Beach and South Bay,Administrative,1,,Ward,3,,3150 East 29th Street ,3150 East 29th Street ,"Long Beach, CA 90806","Long Beach, CA 90806",,,(562) 595-6341,,,American Red Cross,American Red Cross,33.8068121,-118.1541956,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
"Long Beach Red Cross Blood, Platelet and Plasma Donation Center","Long Beach Red Cross Blood, Platelet and Plasma Donation Center",Health Care,2,Blood Centre,,,,3150 E 29th St ,3150 E 29th St ,"Long Beach, CA 90806","Long Beach, CA 90806",,,1-800-RED CROSS,,,American Red Cross,American Red Cross,33.8068121,-118.1541956,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
Greater Atlanta (Georgia Regional Headquarters),Greater Atlanta (Georgia Regional Headquarters),Administrative,1,Regional Headquarters,Provincial,1,,1955 Monroe Drive ,1955 Monroe Drive ,"  Atlanta, GA 30324","  Atlanta, GA 30324",,,404-876-3302,,,American Red Cross,American Red Cross,33.8078543,-84.3741286,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
"Atlanta Red Cross Blood, Platelet and Plasma Donation Center - Midtown","Atlanta Red Cross Blood, Platelet and Plasma Donation Center - Midtown",Health Care,2,Blood Centre,,,,1955 Monroe Drive ,1955 Monroe Drive ,"Atlanta, GA 30324","Atlanta, GA 30324",,,1-800-RED CROSS,,,American Red Cross,American Red Cross,33.8078543,-84.3741286,USA,United States,American Red Cross,,,29-Aug-23,Yes,Yes
