"Component number","Component letter","Component name","Epidemics Description","Urban Description","Climate & Environmental Description","Migration Description"
"11","","Emergency Response Procedures (SOPs)  ","- Roles and responsibilities for epidemic response strategy take into consideration NS support to the MoH including active participation in the MoH EOC, in addition to alternates and backups for emergency operations. 
- Specific SOPs for epidemic response are available and include all response phases (early warning, early action, emergency assessment, response planning, etc.) and standardized templates. 
- Branches have epidemic response SOPs agreed with local authorities and partners. 
- An up-to-date response organigram with contact details exists, is shared, and aligns with SOPs. It includes links between disaster management personnel and health personnel.","- NS SOPs, particularly for branches within disaster-prone towns and cities, are aligned with key stakeholders and city disaster management authorities.","- SOPs have been subjected to environmental screening and include appropriate environmental considerations.","- SOPs recognise that migration or displacement may last for extended periods. They include options from the outset to address long-term scenarios and transitions, aiming to minimize the time migrants or displaced persons spend in precarious emergency situations.
- Roles and responsibilities for migration and displacement take into account the NS's support to ministries working with migrant or displaced populations, and SOPs specify relevant forums the NS actively participates in."
"12","","Response and Recovery Planning  ","- NS response plan considers the main epidemic risks in the country and is aligned with national health plans.","- NS response and recovery plans, particularly for branches within urban contexts, are aligned with key stakeholders and city/local disaster management authorities, and incorporate special challenges associated with the dense and vertical built-up environment. 
- NS response and recovery plans, particularly for branches within urban contexts address the complexity of delivering goods and services in these areas and take into account the unique dynamics of cities.","- Participatory processes related to the multi-sectorial response plan include community-level inputs identifying important local environmental and cultural assets.","- The plan takes into account people's nationalities, legal status, and other vulnerabilities (including gender, age, and whether they are victims/survivors of human trafficking), as these factors can affect access to essential services and recovery prospects.
- The plan can be adapted to multiple flows or contexts of human mobility, including people arriving, in transit (onward and returning), temporarily stranded, or settling. It considers both the migrant or displaced community and the host community.
- The plan adheres to both the Red Cross Movement's Migration Policy and Strategies, as well as to its Internal Displacement Policy."
"13","","Pre-Disaster Meetings and Agreements ","- Coordination and collaboration arrangements with MoH at national,  district, and local levels are formalized. 
- A mapping of the capacities of Movement partners is available; it includes the capacity to respond to different epidemic-prone diseases. 
- Agreements with contractors and consultants include clauses about insurance and protection during epidemics.  
- NS has agreements with public authorities for the facilitation of imports of medical items such as medical equipment and supplies including consumables and non-consumables (e.g. PPEs). 
- Agreements with key suppliers of medical consumables and non-consumables (e.g. PPEs) are formalized with an agreed mechanism for activation and are in line with IFRC procurement framework agreements (including those centrally managed in Geneva for the procurement of medical supplies). 
- Regular community discussions on epidemics include health officials and other public sector officials in charge of the community.
- Agreement with local authorities to allow medical practice and other public health-related activities (e.g. Dead body management, CBS)  during the response are formalized. 
- Agreement with local authorities to allow medical practice and other public health related activities (e.g Dead body management, CBS) during the response are formalized.
- Agreements with local authorities include allowing medical practice and other public health activities in case external/international support is required (e.g. RC surge capacity/ERU).","- Nothing additional to consider.","- Pre-disaster meetings consider any specific risks linked to the environmental context and how they could impact disasters, as well as considering climate-related disasters and trends.","Coordination and arrangements are made with key government authorities, such as border authorities, authorities responsible for migrants, etc., to ensure that the NS has guaranteed access to migrant or displaced populations."
"14","A","COMMUNITY-BASED DP AND DRR ","- NS ensures that assessment, planning, and response for epidemics include measures to avoid fear and stigma.  
- CDRT/NRT are trained and equipped to respond to epidemics and can mobilize local resources.  
- If partnering with the Ministry of Education to run activities in schools, NS is in a position to scale up and scale-down some activities during outbreaks.  
- Community response plans or contingency plans for epidemics are available for high-risk communities.","- NS has conducted a thorough community-based context and stakeholder analysis to identify all communities, vulnerable groups, and operating partners within an urban context to inform planning and implementation of community-based DP and DRR programming. 
- Urban DRR is considered: to integrate urban considerations and actions, awareness building for public officials, institutional and legislative system support at the municipal level, and establishing municipal disaster management committees.","- The NS conducts basic environmental screening on this area of intervention, for example by use of the NEAT+ tool. 
- The NS is aware of sector-specific environmental standards, such as those for shelter and WASH contained in the SPHERE standards;  also the sectoral recommendations in the IFRC Green Response:  Environmental Quick Guide. 
- The NS is aware of and applies guidance from the Guide to Climate Smart Programming and Operations (forthcoming).","- The NS has the capacity to work with and support communities that are likely to receive migrant or displaced populations, thereby ensuring that the migrant perspective is presented to the community.
- Staff and volunteers have the basic knowledge and skills to handle trafficking reports, provide survivors with information on where they can seek support, and implement a survivor-centered approach. When trafficking risks are identified, the necessary specialists and relevant coordination systems are identified to support risk mitigation.
- The NS provides information to migrants or displaced persons about major disasters that may occur in the area where they are located or traveling, for example, whether floods or hurricanes are common."
"14","B","EVACUATION","- If a quarantine is declared in high-risk areas, NS has mechanisms to liaise with MoH to provide support to the evacuation process in the event of another emergency that warrants evacuation (e.g. hurricane).","- NS is able to respond to sudden onset disasters in urban contexts,  which include identifying alternative escape/evacuation routes and using procedures that anticipate and model damage to infrastructure, including transportation and power distribution which will affect movement.","- The NS conducts basic environmental screening in this area of interventions, for example by use of the NEAT+ tool. 
- The NS is aware of sector-specific environmental standards, such as those for shelter and WASH contained in the SPHERE standards;  also the sectoral recommendations in the IFRC Green Response:  Environmental Quick Guide. 
- The NS is aware of and applies guidance from the Guide to Climate Smart Programming and Operations (forthcoming).","- The NS supports the development of evacuation plans to ensure that populations can move more easily and protect their dignity, avoiding potential harm during and after an evacuation, and avoiding any risks that could limit their autonomy and the achievement of their aspirations (loss of property titles, loss of livelihoods, loss of legal rights, etc.).
- The NS strengthens the capacities of key actors responsible for evacuations to assist migrant and displaced populations."
"14","C"," HEALTH IN EMERGENCIES  ","- NS staff and volunteers are regularly trained on the use and disposal of PPE relevant to NS’ mandated activities and the epidemic diseases that are present or probable in the country. 
- NS health care services (e.g. NS health facilities, blood banks, pre-hospital care services, ambulance service) have standard Infection  Prevention and Control policies and procedures in place in normal times that can be adjusted as required during outbreaks. 
- Staff and volunteers supporting NS health care services have appropriate training and regular refresher training on communicable diseases and epidemic control. 
- Pre-disaster meetings with key stakeholders take place (at least once a year). ","- NS can conduct context and complex stakeholder analyses which are required to understand the interactions of the many urban systems that affect and support health services in cities. Examples of those systems include transportation, power/electricity, logistics and supplies, accessibility, and security. Stakeholders include different communities, the most vulnerable, the private sector, public services and government. This is needed in order to design appropriate urban emergency plans.","- The NS conducts basic environmental screening in this area of interventions, for example by use of the NEAT+ tool. 
- The NS is aware of sector-specific environmental standards, such as those for shelter and WASH contained in the SPHERE standards;  also the sectoral recommendations in the IFRC Green Response:  Environmental Quick Guide. 
- The NS is aware of and applies guidance from the Guide to Climate smart Programming and Operations (forthcoming).","- The NS works with health authorities to help migrants access health services, such as basic and specialized medical care, acquire medications, and more.
- The NS has a health policy that considers health in migration or displacement contexts as a key intervention area.
- The NS is aware of the minimum standards for the assessment and management of the most important non-communicable diseases among migrants and displaced persons.
- There is capacity to offer mental health care tailored to the needs of migrant and displaced populations.
- There is a community participation strategy in the planning and implementation of health responses, both for migrant and displaced populations, as well as for host communities.
- The NS is aware of Mental Health and Psychosocial Support (MHPSS) guidelines on migration and displacement.
- The NS has the capacity to provide MHPSS services through its volunteers and staff.
- The NS has a case management system and has trained its team in the specificities of migration and displacement.
- The NS is clear on how to establish child-friendly spaces (CFS)."
"14","D","FIRST AID","- NS has infection prevention and hygiene promotion policies and procedures to accompany first aid responders in an infectious disease outbreak (e.g. no-touch policy).","- Nothing additional to consider.","- The NS conducts basic environmental screening in this area of interventions, for example by use of the NEAT+ tool. 
- The NS is aware of sector-specific environmental standards, such as those for shelter and WASH contained in the SPHERE standards;  also the sectoral recommendations in the IFRC Green Response:  Environmental Quick Guide. 
- The NS is aware of and applies guidance from the Guide to Climate smart Programming and Operations (forthcoming).","- NS volunteers and staff have received first aid training adapted to migration contexts and have received awareness-raising on migrant rights and the universal right to healthcare.
- Essential first aid supplies are prepositioned in key locations to quickly respond to the needs of people on the move."
"14","E","WATER AND SANITATION ","- NS response strategy includes water, sanitation and hygiene  measures and activities for settings where there is a high risk of  disease transmission, including environmental sanitation. 
- Epidemic specific WASH support is available (response teams  trained in WASH, relevant equipment and supplies).","- NS is able to manage mid- to large-scale water purification and delivery programs within the urban context or to supplement existing programs as needed (e.g., provide aqua tabs, support delivery only,  etc.). 
- NS is able to support sanitation and waste removal within urban contexts that are likely to be overwhelmed during a disaster.","- The NS conducts basic environmental screening in this area of interventions, for example by use of the NEAT+ tool. 
- The NS is aware of sector-specific environmental standards, such as those for shelter and WASH contained in the SPHERE standards;  also the sectoral recommendations in the IFRC Green Response:  Environmental Quick Guide. 
- The NS is aware of and applies guidance from the Guide to Climate-smart Programming and Operations (forthcoming).","- The NS consults with the migrant population and tailors WASH support according to its needs at different stages of the journey.
- The NS follows-up on the distribution of hygiene items to assess their use and verify whether migrants or displaced persons are satisfied.
- The NS prepositions safe water in key locations to be able to respond quickly to the needs of people on the move and of the host communities they pass through."
"14","F","FOOD SECURITY","- The identified technical staff for food assistance are trained to determine needs and analyze market situations during potential population lockdowns.","- NS is able to support food security programming in urban contexts,  such as using Cash and Voucher Assistance that is designed to provide the targeted population with the ability to purchase food and goods from local markets. In the event that local markets are not functioning, NS plans also include how to acquire and distribute food and essential goods.","- The NS conducts basic environmental screening in this area of interventions, for example by use of the NEAT+ tool. 
- The NS is aware of sector-specific environmental standards, such as those for shelter and WASH contained in the SPHERE standards;  also the sectoral recommendations in the IFRC Green Response:  Environmental Quick Guide. 
- The NS is aware of and applies guidance from the Guide to Climate Smart Programming and Operations (forthcoming).","- The NS considers the cultural background of migrant or displaced populations in relation to their dietary needs and preferences.
- The NS considers the needs of migrant or displaced populations at different stages of their journey, such as those arriving, those in transit, those temporarily stranded, or those settled, as well as the amount of food they can safely carry or store.
- Essential food items are pre-positioned in key locations to quickly respond to the needs of people on the move."
"14","G"," LIVELIHOOD SECURITY AND SAFETY NETS","- NS has the capacity to identify potential sources of transmission during  epidemics (e.g. markets, place of work, etc.) 
- In epidemic-prone areas, risks to community and household productive assets are identified and a plan for protecting assets is in place.","- NS has identified opportunities to use Cash and Voucher Assistance for vulnerable groups within urban settings (e.g., urban poor, day laborers, and populations that do not qualify for, or cannot access,  social protection programming).","- The NS conducts basic environmental screening on this area of  interventions, for example by use of the NEAT+ tool. 
- The NS is aware of sector specific environmental standards, such as  those for shelter and WASH contained in the SPHERE standards;  also the sectoral recommendations in the IFRC Green Response:  Environmental Quick Guide. 
- The NS is aware of and applies guidance of the Guide to Climate smart Programming and Operations (forthcoming)","- Livelihood framework reflects specific actions to support migrants and displaced population.
- The NS considers the risks that migrant or displaced populations may face to safely enter the labor market, such as labor exploitation, the informal sector, human trafficking, etc.
- The NS works with labor authorities to help migrants access sustainable livelihoods, such as legal rights to work and recognition of professional qualifications.
- The NS considers the livelihood-related needs of migrant or displaced populations at different stages of their journey, including when arriving, in transit, temporarily stranded, and settled.
- The NS considers livelihoods and safety nets for host communities."
"14","H"," SEARCH AND RESCUE  ","- Scenarios consider epidemic risk and the potential absence of key personnel.","- Nothing additional to consider.","- The NS conducts basic environmental screening in this area of interventions, for example by use of the NEAT+ tool. 
- The NS is aware of sector-specific environmental standards, such as those for shelter and WASH contained in the SPHERE standards;  also the sectoral recommendations in the IFRC Green Response:  Environmental Quick Guide. 
- The NS is aware of and applies guidance from the Guide to Climate smart Programming and Operations (forthcoming).","- The NS conducts assessments at different points along the migration route within the country, with the aim of optimising the migrant rescue service.
- The NS considers preventive support for certain at-risk groups, such as migrants or displaced persons who are missing, for example, people searches and strategies to mitigate the risk of disappearance (such as providing information on tracing services)."
"14","I","SHELTER, HOUSEHOLD ITEMS, SETTLEMENTS ","- NS has plans for the replacement of destroyed or contaminated  NFIs during epidemics. 
- NS has plans and procedures for the provision of tents for quarantine, screening, shelter, etc. during epidemics.","- NS has identified opportunities to use Cash and Voucher Assistance for vulnerable groups within urban settings (e.g., urban poor, day labourers, and populations that do not qualify for, or cannot access,  social protection programming).","- The NS conducts basic environmental screening in this area of interventions, for example by use of the NEAT+ tool. 
- The NS is aware of sector-specific environmental standards, such as those for shelter and WASH contained in the SPHERE standards;  also the sectoral recommendations in the IFRC Green Response:  Environmental Quick Guide. 
- The NS is aware of and applies guidance from the Guide to Climate Smart Programming and Operations (forthcoming).","- The NS considers the shelter needs of migrant or displaced populations throughout the different stages of their journey, including when arriving, in transit, temporarily stranded, settled, and returning.
- The NS considers the problems that migrants or displaced populations may face regarding access to housing, security of tenure, and the risk of eviction. These issues are taken into account when defining needs-based shelter assistance. Temporary shelter assistance covers the following options: shelters, support with host families, rental assistance, camps, etc.
- The SN considers the use of temporary tent settlements as a last resort for migrant or displaced populations. Other, more appropriate options should be considered first, depending on whether the population will remain in the country for a short or long period.
- Non-food items are tailored to the needs of migrant or displaced populations at different stages of their journey, including when arriving, in transit, temporarily detained, and settled.
- Non-food items are pre-positioned in key locations to quickly respond to the needs of people on the move."
"14","J","MANAGEMENT OF DEAD BODIES TO FACILITATE THEIR IDENTIFICATION","- NS in a country at risk of viral hemorrhagic fevers has established with their MoH whether they have the mandate to carry out safe and dignified burials, and if so, whether those will be done in partnership with other actors or solely by the NS.  
- NS mandated to lead or support SDB in viral hemorrhagic fever outbreaks develop appropriate networks with disease surveillance mechanisms to support implementation.  
- NS has SOPs and prepositioned equipment for the management of dead bodies (contagious as well as noncontagious) with epidemic considerations, in line with those established by the MoH or WHO.","- Nothing additional to consider.","- The NS conducts basic environmental screening in this area of interventions, for example by use of the NEAT+ tool. 
- The NS is aware of sector-specific environmental standards, such as those for shelter and WASH contained in the SPHERE standards;  also the sectoral recommendations in the IFRC Green Response:  Environmental Quick Guide. 
- The NS is aware of and applies guidance from the Guide to Climate Smart Programming and Operations (forthcoming).","- Nothing additional to consider."
"14","K","RESTORING FAMILY LINKS (RFL)","- NS has plans and procedures to carry out RFL in epidemics (e.g. no-touch policy, providing services remotely).","- NS is able to rapidly scale-up services (including tracing and communications) to manage the size and complexity of needs present within urban contexts.","- The NS conducts basic environmental screening in this area of interventions, for example by use of the NEAT+ tool. 
- The NS is aware of sector-specific environmental standards, such as those for shelter and WASH contained in the SPHERE standards;  also the sectoral recommendations in the IFRC Green Response:  Environmental Quick Guide. 
- The NS is aware of and applies guidance of the Guide to Climate Smart Programming and Operations (forthcoming)","- The NS considers preventive approaches to RFL, such as ensuring that families and friends stay together if they move from one place to another.
- NS have different means to facilitate for migrants and displaced people to mantain contact with family and friends, for e.g. mobile charging stations, WIFI and access to telecomunication equipment.
- NS tailors RFL support to the needs of migrant or displaced populations at different stages of their journey."
"14","L","TRANSITION TO RECOVERY","- NS works to mitigate epidemic-related stigma to enable survivor reintegration into society.","- Nothing additional to consider.","- The NS conducts basic environmental screening in this area of interventions, for example by use of the NEAT+ tool. 
- The NS is aware of sector-specific environmental standards, such as those for shelter and WASH contained in the SPHERE standards;  also the sectoral recommendations in the IFRC Green Response:  Environmental Quick Guide. 
- The NS is aware of and applies guidance from the Guide to Climate Smart Programming and Operations (forthcoming).","- The NS has a plan for what it will and will not do to support the recovery of migrants and displaced persons (integration, return, safe passage to third countries, reintegration, etc.), and trains staff and volunteers to assume their roles and responsibilities in these areas.
- The NS has the capacity to work with and support communities that are likely to receive migrant or displaced populations.
- The NS has experience in supporting integration and social inclusion.
- The NS safely refers migrants and displaced persons to longer-term support programmes within and outside the NS."
"14","M","CHEMICAL, BIOLOGICAL, RADIOLOGICAL AND NUCLEAR (CBRN) EMERGENCY PREPAREDNESS","- NS considers addressing chemical events as a specific indicator or as an unusual event trigger in CBS.","- NS is able to respond to chemical, biological, radiological, and nuclear hazards, which often affect large and dense populations within urban contexts. This would require having a clear mandate and role to respond to these hazards, as well as having appropriate coordination mechanism, equipment, and trained responders.","- The NS conducts basic environmental screening in this area of interventions, for example by use of the NEAT+ tool. 
- The NS is aware of sector-specific environmental standards, such as those for shelter and WASH contained in the SPHERE standards;  also the sectoral recommendations in the IFRC Green Response:  Environmental Quick Guide. 
- The NS is aware of and applies guidance from the Guide to Climate Smart Programming and Operations (forthcoming).","- Nothing additional to consider."
"14","N"," COMMUNITY BASED HEALTH & FIRST AID (CBHFA)  ","- NS volunteers and staff engaged in community health programmes are regularly trained in communicable diseases and epidemic control measures.
- NS trains CBHFA volunteers on epidemics simulations,  preparedness, response planning, and monitoring utilizing the  CBHFA Communicable Disease Prevention module or Epidemic  Control for Volunteer toolkit. 
- During an outbreak, staff and volunteers are trained to care for people at home (e.g. those suffering from mild or undiagnosed infections, or those unwilling or unable to seek care). 
- Community-Based Surveillance (if appropriate after assessment),  detection, and control are in place in vulnerable communities (this includes the capacity and materials to inform at-risk communities about the causes and consequences of major epidemic threats and to help them identify key practices for epidemic control). 
- If partnering with the Ministry of Education to run activities in schools, NS is able to scale-up and scale-down some activities during outbreaks.","- Nothing additional to consider.","- The NS conducts basic environmental screening in this area of interventions, for example by use of the NEAT+ tool. 
- The NS is aware of sector-specific environmental standards, such as those for shelter and WASH contained in the SPHERE standards;  also the sectoral recommendations in the IFRC Green Response:  Environmental Quick Guide. 
- The NS is aware of and applies guidance from the Guide to Climate Smart Programming and Operations (forthcoming).","The NS has volunteers trained in psychosocial first aid, community-based psychosocial support, protection and referrals."
